"activity_type" "subject" "domain" "detector" "operation" "mean"
"LAYING" 1 "time" "BodyAccMag" "std" -0.79514486386
"SITTING" 1 "time" "BodyAccMag" "std" -0.927078418723404
"STANDING" 1 "time" "BodyAccMag" "std" -0.981942928867925
"WALKING" 1 "time" "BodyAccMag" "std" -0.219688645631579
"WALKING_DOWNSTAIRS" 1 "time" "BodyAccMag" "std" 0.0198843506265306
"WALKING_UPSTAIRS" 1 "time" "BodyAccMag" "std" -0.324970929245283
"LAYING" 2 "time" "BodyAccMag" "std" -0.972873912916667
"SITTING" 2 "time" "BodyAccMag" "std" -0.953081444130435
"STANDING" 2 "time" "BodyAccMag" "std" -0.957874965
"WALKING" 2 "time" "BodyAccMag" "std" -0.422544169322034
"WALKING_DOWNSTAIRS" 2 "time" "BodyAccMag" "std" 0.215586334889362
"WALKING_UPSTAIRS" 2 "time" "BodyAccMag" "std" -0.205977045295833
"LAYING" 3 "time" "BodyAccMag" "std" -0.964218176451613
"SITTING" 3 "time" "BodyAccMag" "std" -0.8703017
"STANDING" 3 "time" "BodyAccMag" "std" -0.915143303606557
"WALKING" 3 "time" "BodyAccMag" "std" -0.328428936551724
"WALKING_DOWNSTAIRS" 3 "time" "BodyAccMag" "std" -0.0411340078469388
"WALKING_UPSTAIRS" 3 "time" "BodyAccMag" "std" -0.333597432542373
"LAYING" 4 "time" "BodyAccMag" "std" -0.931292216611111
"SITTING" 4 "time" "BodyAccMag" "std" -0.9144078448
"STANDING" 4 "time" "BodyAccMag" "std" -0.890976683392857
"WALKING" 4 "time" "BodyAccMag" "std" -0.527679103166667
"WALKING_DOWNSTAIRS" 4 "time" "BodyAccMag" "std" -0.0819559041111111
"WALKING_UPSTAIRS" 4 "time" "BodyAccMag" "std" -0.212012300480769
"LAYING" 5 "time" "BodyAccMag" "std" -0.958612786346154
"SITTING" 5 "time" "BodyAccMag" "std" -0.920939027727273
"STANDING" 5 "time" "BodyAccMag" "std" -0.87977380125
"WALKING" 5 "time" "BodyAccMag" "std" -0.377178733392857
"WALKING_DOWNSTAIRS" 5 "time" "BodyAccMag" "std" 0.205422375957447
"WALKING_UPSTAIRS" 5 "time" "BodyAccMag" "std" -0.136736383765957
"LAYING" 6 "time" "BodyAccMag" "std" -0.897326245964912
"SITTING" 6 "time" "BodyAccMag" "std" -0.931572655636364
"STANDING" 6 "time" "BodyAccMag" "std" -0.939310249649123
"WALKING" 6 "time" "BodyAccMag" "std" -0.266734167368421
"WALKING_DOWNSTAIRS" 6 "time" "BodyAccMag" "std" 0.373611914166667
"WALKING_UPSTAIRS" 6 "time" "BodyAccMag" "std" -0.0791508842176471
"LAYING" 7 "time" "BodyAccMag" "std" -0.907039513153846
"SITTING" 7 "time" "BodyAccMag" "std" -0.881957619770833
"STANDING" 7 "time" "BodyAccMag" "std" -0.933590156792453
"WALKING" 7 "time" "BodyAccMag" "std" -0.198554708385965
"WALKING_DOWNSTAIRS" 7 "time" "BodyAccMag" "std" 0.214544028088723
"WALKING_UPSTAIRS" 7 "time" "BodyAccMag" "std" -0.33474460745098
"LAYING" 8 "time" "BodyAccMag" "std" -0.91325033
"SITTING" 8 "time" "BodyAccMag" "std" -0.929943615630435
"STANDING" 8 "time" "BodyAccMag" "std" -0.937187185222222
"WALKING" 8 "time" "BodyAccMag" "std" -0.1804072826
"WALKING_DOWNSTAIRS" 8 "time" "BodyAccMag" "std" 0.131337867236842
"WALKING_UPSTAIRS" 8 "time" "BodyAccMag" "std" -0.227200254219512
"LAYING" 9 "time" "BodyAccMag" "std" -0.91512680016
"SITTING" 9 "time" "BodyAccMag" "std" -0.8637564342
"STANDING" 9 "time" "BodyAccMag" "std" -0.936105010444444
"WALKING" 9 "time" "BodyAccMag" "std" -0.37942877
"WALKING_DOWNSTAIRS" 9 "time" "BodyAccMag" "std" 0.265120131365238
"WALKING_UPSTAIRS" 9 "time" "BodyAccMag" "std" -0.400222037142857
"LAYING" 10 "time" "BodyAccMag" "std" -0.940301654482759
"SITTING" 10 "time" "BodyAccMag" "std" -0.939669591481481
"STANDING" 10 "time" "BodyAccMag" "std" -0.937264537954545
"WALKING" 10 "time" "BodyAccMag" "std" -0.185602396067925
"WALKING_DOWNSTAIRS" 10 "time" "BodyAccMag" "std" 0.156998205421053
"WALKING_UPSTAIRS" 10 "time" "BodyAccMag" "std" -0.211537480214383
"LAYING" 11 "time" "BodyAccMag" "std" -0.972891829473684
"SITTING" 11 "time" "BodyAccMag" "std" -0.944581826415094
"STANDING" 11 "time" "BodyAccMag" "std" -0.98030536893617
"WALKING" 11 "time" "BodyAccMag" "std" -0.487735915084746
"WALKING_DOWNSTAIRS" 11 "time" "BodyAccMag" "std" 0.0507743652521739
"WALKING_UPSTAIRS" 11 "time" "BodyAccMag" "std" -0.289592148148148
"LAYING" 12 "time" "BodyAccMag" "std" -0.936542686833333
"SITTING" 12 "time" "BodyAccMag" "std" -0.947517100196078
"STANDING" 12 "time" "BodyAccMag" "std" -0.935232945245902
"WALKING" 12 "time" "BodyAccMag" "std" -0.23697286882
"WALKING_DOWNSTAIRS" 12 "time" "BodyAccMag" "std" 0.0972608274652174
"WALKING_UPSTAIRS" 12 "time" "BodyAccMag" "std" -0.285844036153846
"LAYING" 13 "time" "BodyAccMag" "std" -0.947944746612903
"SITTING" 13 "time" "BodyAccMag" "std" -0.937935738571429
"STANDING" 13 "time" "BodyAccMag" "std" -0.968519673859649
"WALKING" 13 "time" "BodyAccMag" "std" -0.292546377017544
"WALKING_DOWNSTAIRS" 13 "time" "BodyAccMag" "std" -0.0156098198829787
"WALKING_UPSTAIRS" 13 "time" "BodyAccMag" "std" -0.326339622181818
"LAYING" 14 "time" "BodyAccMag" "std" -0.856593119215686
"SITTING" 14 "time" "BodyAccMag" "std" -0.92549582962963
"STANDING" 14 "time" "BodyAccMag" "std" -0.936735577166667
"WALKING" 14 "time" "BodyAccMag" "std" -0.36380562779661
"WALKING_DOWNSTAIRS" 14 "time" "BodyAccMag" "std" 0.428405922622222
"WALKING_UPSTAIRS" 14 "time" "BodyAccMag" "std" -0.0197686685018519
"LAYING" 15 "time" "BodyAccMag" "std" -0.943314107916667
"SITTING" 15 "time" "BodyAccMag" "std" -0.93797790559322
"STANDING" 15 "time" "BodyAccMag" "std" -0.948600432641509
"WALKING" 15 "time" "BodyAccMag" "std" -0.323878324074074
